Tên phim,Đạo diễn,Mô tả,Poster URL
Bê Bối Nước Mỹ,Shonda Rhimes,"At the table read for the pilot, Shonda Rhimes told Bellamy Young that her arc on the show would only consist of four to five episodes before Young's character would be written off.","https://m.media-amazon.com/images/M/MV5BMTUxNzk3MDQyNl5BMl5BanBnXkFtZTgwNDgxMDkyMzI@._V1_QL75_UX190_CR0,0,190,281_.jpg"
Titanic,James Cameron,"Titanic was massive on every level, including the casting process. From Matthew McConaughey to Angelina Jolie, dozens of A-listers were considered. Who almost played Jack and Rose?","https://m.media-amazon.com/images/M/MV5BYzYyN2FiZmUtYWYzMy00MzViLWJkZTMtOGY1ZjgzNWMwN2YxXkEyXkFqcGc@._V1_QL75_UX190_CR0,1,190,281_.jpg"
Điệp Vụ Boston,Martin Scorsese,"See the complete list of Best Picture winners. For fun, use the ""sort order"" function to rank by IMDb rating and other criteria.","https://m.media-amazon.com/images/M/MV5BMTI1MTY2OTIxNV5BMl5BanBnXkFtZTYwNjQ4NjY3._V1_QL75_UY281_CR0,0,190,281_.jpg"
Vầng Trăng Máu,Martin Scorsese,Cinema legend Martin Scorsese has directed some of the most acclaimed films of all time. See how IMDb users rank all of his feature films as director.,"https://m.media-amazon.com/images/M/MV5BZWY5ZDVjNTUtODI5Yy00MjFhLWEyM2EtYzZjM2VjZTI0MTBjXkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg"
Đừng Quá Nhiệt Tình,Larry David,"In 2003, a man named Juan Catalan was arrested for murder in Los Angeles. He repeatedly professed his innocence, and asked to take a polygraph test, a request that the police denied (note: polygraph tests aren't admissible in court). He also had an alibi. He swore that at the time of the murder, he was at Dodger Stadium with his little girl, watching the Dodgers vs. the Braves, but his lawyer was unable to find him in any of the Dodger Vision or FOX footage he subpoenaed. However, he discovered that there was another source of crowd footage: Curb Your Enthusiasm season four, episode six, The Car Pool Lane (2004) had filmed at Dodger Stadium that night. Although Catalan did not make the final cut of the show, his lawyer was finally able to find him and his daughter in the outtakes, and determined from the timestamps on the tapes that Catalan could not have been the killer. When told that his show had released a wrongfully accused man from prison and a trial that could have led to the death penalty, Larry David commented, ""I tell people that I've now done one decent thing in my life, albeit inadvertently."" The documentary Cơ Hội Xa Vời (2017) is about these events.","https://m.media-amazon.com/images/M/MV5BZmFiZDY2ZDItZDliOC00Y2JhLTliMWYtODkzMTA0YmIwZDA3XkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg"
Hố Đen Tử Thần,Christopher Nolan,Take a look back at Jessica Chastain's movie career in photos.,"https://m.media-amazon.com/images/M/MV5BYzdjMDAxZGItMjI2My00ODA1LTlkNzItOWFjMDU5ZDJlYWY3XkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg"
Quý Ông Thế Giới Ngầm,Guy Ritchie,Hugh Grant filmed his scenes with Charlie Hunnam in five days; he had to deliver over 40 pages of dialogue during the shoot.,"https://m.media-amazon.com/images/M/MV5BMjE2ZjQ4ZGMtZjFhMi00NmI5LTliNjEtODczMWMxNjliZjgxXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg"
Deadpool và Wolverine,Shawn Levy,"Hugh Jackman said he really was done playing the character of Wolverine after Logan: Người Sói (2017). He then said he regretted that statement after watching the first Deadpool movie and expressed to Ryan his interest in the two characters meeting on the big screen. When asked why he chose to return for this film, he simply said, ""I just wanted to do it, and I felt it in my gut"", adding that he wanted to have the best possible time ever on a movie set together with Ryan Reynolds. Likewise, Reynolds wanted to work alongside Jackman since the first Deadpool film and was saddened when he (Jackman) retired from the role.","https://m.media-amazon.com/images/M/MV5BZTk5ODY0MmQtMzA3Ni00NGY1LThiYzItZThiNjFiNDM4MTM3XkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg"
Thám Tử Chân Chính,Nic Pizzolatto,"To prepare, Matthew McConaughey created a four hundred fifty-page analysis, the ""Four Stages of Rustin Cohle,"" to study his character's evolution over the course of the story.","https://m.media-amazon.com/images/M/MV5BNzk4ODZkNTYtNjU2Yi00YTU5LWFmMjYtNjNiMTRhMjEzNDQ1XkEyXkFqcGc@._V1_QL75_UY281_CR4,0,190,281_.jpg"
Giải Mã Bí Ẩn Ngân Hà,James Gray,"Unlike several contemporary films where CGI is used to depict the spacecraft and the vast space, director James Gray decided to use practical effects like models and props for the spacecraft exterior shots. Also, instead of using CGI for planets, he decided to use still images to portray the surface of the planets. This same technique was used in 2001: Chuyến Du Hành Không Gian (1968).","https://m.media-amazon.com/images/M/MV5BOGRhOGNjZjEtNTU2Ni00MDlmLWI3MWEtNzc1OGE2ZmEwZGNhXkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg"
24h Chống Khủng Bố,Robert Cochran,All cast members were required to have their hair trimmed every five days.,"https://m.media-amazon.com/images/M/MV5BMTg5OTkyNzA0NF5BMl5BanBnXkFtZTcwMDYyMDUwMg@@._V1_QL75_UY281_CR1,0,190,281_.jpg"
Mare ở Easttown,Brad Ingelsby,"According to director Craig Zobel, Kate Winslet was the only actor confident enough to go back to her native accent in between takes; every other actor was terrified to let it go. For the cast and crew, witnessing Winslet immediately switch from a Delco accent to her normal English accent nonchalantly was an astonishing sight.","https://m.media-amazon.com/images/M/MV5BZTcxYWE0ZTQtYzg1Yi00Y2EwLWE4YTEtYTFjMTZmZmRkZjUyXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg"
